alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,26.5958,0.296015,26.2237,26.4295,26.538,26.6987,27.9095
fmi,5,9.22413,0.214651,8.89955,9.09165,9.20085,9.29323,10.1223
sa,5,12.1463,1.10203,11.3952,11.5301,11.6783,12.1885,16.5452
csa,10,62.2513,0.3868,61.253,62.0388,62.2189,62.4456,63.165
fmi,10,24.2783,0.448239,23.3552,23.9561,24.1842,24.5344,25.3176
sa,10,23.1554,0.175024,22.8968,23.0455,23.1133,23.194,23.6378
csa,15,94.4837,0.35238,93.5641,94.2654,94.4781,94.7393,95.3063
fmi,15,37.66,0.244129,36.9961,37.5211,37.6454,37.7565,38.2718
sa,15,25.7658,0.211449,25.2998,25.6143,25.7347,25.8986,26.3759
csa,20,124.857,0.438264,123.274,124.673,124.871,125.114,126.171
fmi,20,50.3882,0.266897,49.7829,50.2274,50.3604,50.5457,51.1236
sa,20,26.7285,0.255707,26.1891,26.5283,26.7375,26.9001,27.3857
csa,25,155.037,0.674417,153.495,154.573,155.074,155.43,157.014
fmi,25,62.6306,0.308682,61.7421,62.4563,62.6397,62.8519,63.2615
sa,25,27.4673,0.383257,26.5782,27.2545,27.4461,27.6572,29.1193
csa,30,185.112,0.97385,182.682,184.312,185.328,185.839,186.808
fmi,30,75.0604,0.35027,74.3247,74.8152,75.0702,75.2465,76.0288
sa,30,28.1879,0.390713,27.3963,27.9507,28.1115,28.4673,29.2494
csa,35,215.213,1.36432,212.343,214.159,215.099,216.382,218.081
fmi,35,87.2669,0.415864,86.2476,87.0152,87.236,87.5434,88.4498
sa,35,28.7874,0.431979,27.9998,28.4543,28.7532,29.1217,29.8833
csa,40,245.047,1.54192,240.239,244.117,245.237,246.048,248.507
fmi,40,99.3919,0.454948,98.298,99.1184,99.3584,99.6964,100.465
sa,40,29.4237,0.458802,28.4591,29.1323,29.4222,29.5891,30.8573
csa,45,275.475,1.51128,271.861,274.521,275.402,276.439,279.313
fmi,45,111.567,0.45609,110.568,111.302,111.571,111.846,112.776
sa,45,29.7838,0.458586,28.5546,29.4884,29.7799,30.0386,30.9676
csa,50,305.491,1.70635,301.702,304.502,305.263,306.523,309.164
fmi,50,123.67,0.592081,122.431,123.263,123.655,124.181,124.692
sa,50,30.3167,0.464201,29.4275,29.9836,30.3314,30.6461,31.3667
csa,55,335.794,1.61857,332.687,334.781,335.79,336.808,340.039
fmi,55,136.149,0.60594,134.689,135.763,136.228,136.568,137.569
sa,55,30.6839,0.451303,29.8523,30.4215,30.6254,30.9447,31.8641
csa,60,365.294,2.25769,358.316,363.808,365.268,366.846,370.147
fmi,60,148.336,0.677576,146.732,147.844,148.356,148.827,149.663
sa,60,31.4091,0.477536,30.4916,31.108,31.4008,31.6813,32.4009
csa,65,395.805,2.68908,389.809,394.356,396.093,397.536,402.832
fmi,65,160.375,0.661009,158.956,159.874,160.428,160.875,161.727
sa,65,31.645,0.542024,30.4019,31.2256,31.6956,31.9624,33.1437
csa,70,425.191,2.77198,419.274,423.823,425.61,426.895,433.107
fmi,70,172.469,0.753583,170.518,172.1,172.649,172.909,174.122
sa,70,32.2197,0.506995,31.0858,31.8466,32.1943,32.5587,33.4121
csa,75,455.434,2.92249,448.229,453.306,455.043,458.167,462.23
fmi,75,184.329,0.793673,182.583,183.824,184.233,184.772,186.374
sa,75,32.7149,0.459163,31.717,32.4448,32.6509,33.0225,33.6472
csa,80,484.342,3.45574,475.741,482.65,484.144,486.713,491.367
fmi,80,196.353,0.965168,194.095,195.622,196.404,196.955,198.697
sa,80,33.3137,0.595108,31.8987,32.927,33.336,33.7208,34.9867
csa,85,515.42,3.48388,507.921,513.13,515.253,518.025,523.481
fmi,85,209.052,1.29902,205.929,208.321,208.957,209.646,213.316
sa,85,33.539,0.529035,32.7328,33.0866,33.4546,33.9616,34.8812
csa,90,545.02,3.204,537.515,543.383,545.285,546.826,553.58
fmi,90,220.791,0.934923,218.846,220.256,220.897,221.292,222.627
sa,90,34.1031,0.518627,33.1948,33.7575,34.0429,34.4182,35.4661
csa,95,575.372,4.0324,565.312,572.799,575.645,578.479,583.682
fmi,95,232.954,1.0182,230.14,232.337,232.875,233.6,235.423
sa,95,34.4667,0.507943,33.1428,34.0656,34.5163,34.861,35.4171
csa,100,605.366,4.1918,595.942,602.949,605.879,607.98,614.06
fmi,100,244.615,1.09992,242.163,244.054,244.658,245.324,247.191
sa,100,34.8741,0.507811,33.7724,34.538,34.8357,35.2552,36.5082
csa,105,634.257,4.5185,622.487,631.45,634.379,636.751,645.811
fmi,105,256.829,1.09483,254.736,256.123,256.885,257.646,259.261
sa,105,35.5001,0.557904,34.2217,35.1479,35.463,35.8767,36.7739
csa,110,664.094,4.24999,654.007,661.448,664.768,667.292,674.568
fmi,110,268.924,1.16442,265.977,268.206,268.893,269.763,271.893
sa,110,35.9567,0.611222,34.7952,35.5233,35.9603,36.2573,37.4183
csa,115,695.575,5.29975,679.315,691.806,695.249,699.529,707.969
fmi,115,281.267,1.50498,276.109,280.184,281.152,282.125,284.981
sa,115,36.2926,0.582045,35.176,35.8341,36.1617,36.6346,37.9634
csa,120,723.95,4.61848,715.328,720.484,724.436,727.213,734.542
fmi,120,293.179,1.3917,290.401,292.331,293.273,294.031,296.551
sa,120,36.8525,0.627122,35.6311,36.415,36.7799,37.3282,38.3159
csa,125,753.837,4.88185,743.858,750.029,753.677,757.212,764.263
fmi,125,305.713,1.59262,303.08,304.652,305.626,306.503,311.312
sa,125,37.3548,0.585111,36.2135,36.9185,37.3526,37.7022,38.9274
csa,130,783.488,5.02187,772.535,780.443,783.208,786.981,793.487
fmi,130,317.323,1.26746,314.925,316.329,317.359,318.116,320.891
sa,130,37.6733,0.538761,36.5574,37.2587,37.6924,37.938,38.9242
csa,135,813.803,6.14869,798.745,809.25,814.634,818.267,826.167
fmi,135,329.349,1.72515,325.173,328.148,329.351,330.644,333.309
sa,135,38.1611,0.590582,37.0411,37.7314,38.1995,38.5577,39.3716
csa,140,845.124,5.53209,833.931,840.834,844.899,849.843,856.389
fmi,140,341.989,1.42951,339.347,340.874,341.957,342.928,346.429
sa,140,38.5652,0.577385,37.4973,38.1522,38.5757,39.0516,40.1387
csa,145,874.378,6.09981,862.74,870.447,874.157,877.938,890.043
fmi,145,353.646,1.87466,349.239,352.262,353.651,354.775,359.77
sa,145,38.9968,0.57274,37.8243,38.5938,38.975,39.3923,40.507
csa,150,904.185,6.07859,887.677,899.798,904.507,909.291,916.152
fmi,150,365.501,1.59858,361.087,364.679,365.604,366.405,369.233
