alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,27.1001,0.501206,26.2468,26.8025,26.9701,27.2513,29.4205
fmi,5,12.6886,0.354256,12.2097,12.5071,12.6451,12.7355,14.6801
csa,10,63.2,0.682687,61.2801,62.8358,63.2756,63.5786,64.6431
fmi,10,33.564,0.32033,32.9281,33.338,33.5493,33.7213,34.5117
csa,15,95.738,1.14935,92.8437,95.1608,95.6491,96.7356,98.1717
fmi,15,52.5742,0.382788,51.8305,52.3195,52.5897,52.798,53.4827
csa,20,126.278,1.27332,122.939,125.498,126.367,127.131,129.533
fmi,20,71.0997,0.492126,69.7236,70.8705,71.1406,71.3872,72.3026
csa,25,156.879,1.69659,152.123,155.923,157.11,158.076,159.914
fmi,25,89.5476,0.514214,88.337,89.2266,89.5535,89.8772,90.8934
csa,30,187.18,2.0866,181.284,185.485,187.332,188.657,191.933
fmi,30,107.562,0.732106,105.758,107.14,107.616,107.951,109.199
csa,35,217.274,2.29641,211.994,215.855,217.496,218.552,221.798
fmi,35,125.437,0.804989,123.32,124.892,125.517,126.003,126.929
csa,40,246.755,3.03104,240.286,244.561,246.652,248.729,253.093
fmi,40,143.179,1.07026,140.295,142.482,143.1,143.94,145.302
csa,45,277.501,3.07847,270.849,275.475,276.832,279.613,285.568
fmi,45,161.09,1.00576,159.227,160.348,161.112,161.618,163.479
csa,50,307.443,4.78463,295.816,304.681,307.647,310.092,319.134
fmi,50,178.631,1.31814,175.444,177.853,178.701,179.418,182.245
csa,55,337.282,4.16447,327.859,334.566,337.079,339.814,347.712
fmi,55,196.23,1.33454,194.01,195.335,196.174,197.039,199.822
csa,60,367.87,3.65481,359.389,364.815,368.088,369.9,378.213
fmi,60,214.102,1.35607,208.989,213.345,214.171,214.979,216.986
csa,65,397.844,4.41343,383.158,394.732,398.01,400.575,406.478
fmi,65,231.738,1.67957,226.455,230.892,231.775,232.826,235.402
csa,70,427.813,4.38092,412.453,424.681,427.556,430.702,436.779
fmi,70,249.264,1.6251,244.363,248.458,249.151,250.229,253.288
csa,75,458.301,5.29895,442.645,454.874,458.749,462.057,467.495
fmi,75,267.251,2.33259,263.158,265.943,267.03,268.477,279.191
csa,80,487.73,6.53096,475.23,482.726,487.001,491.371,505.359
fmi,80,284.351,2.32388,278.564,282.62,284.359,285.859,289.956
csa,85,519.476,5.55544,503.378,516.113,518.851,523.367,531.928
fmi,85,302.387,2.05905,296.44,301.398,302.456,303.671,306.663
