alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,26.8764,0.390727,26.334,26.6273,26.8059,26.9786,28.4377
fmi,5,21.6421,0.511704,20.7962,21.2594,21.5675,21.9001,23.0641
sa,5,16.0769,0.767261,15.6212,15.778,15.8428,16.0237,20.4997
csa,10,55.7498,0.269875,55.2628,55.5675,55.7305,55.9509,56.3558
fmi,10,47.3129,0.340561,46.49,47.0807,47.2926,47.5631,48.0242
sa,10,17.9385,0.155142,17.6009,17.8305,17.9249,18.0552,18.3581
csa,15,83.8313,0.586263,82.2099,83.3762,83.871,84.2571,85.0746
fmi,15,72.45,0.498669,71.3679,72.0702,72.5208,72.8144,73.6849
sa,15,19.2187,0.291083,18.8049,19.015,19.2115,19.3663,20.0829
csa,20,111.346,0.798368,109.705,110.859,111.38,111.836,113.609
fmi,20,97.0148,0.592444,95.4404,96.7542,97.0538,97.3828,98.1901
sa,20,20.5875,0.282454,19.7998,20.3704,20.6275,20.7855,21.2044
csa,25,138.838,1.18279,136.335,138.036,139.019,139.54,141.25
fmi,25,121.568,1.10176,118.847,120.796,121.499,122.346,124.087
sa,25,21.9213,0.482506,20.7458,21.5776,21.9148,22.2237,23.0931
csa,30,166.621,1.22208,163.148,165.985,166.671,167.736,168.658
fmi,30,146.21,1.24284,143.408,145.313,146.066,146.856,149.554
sa,30,23.0295,0.46118,21.9892,22.6731,23.0173,23.4263,23.9088
csa,35,193.853,1.68243,189.941,192.918,194.072,194.931,197.4
fmi,35,170.364,1.30129,167.083,169.64,170.398,170.986,173.254
sa,35,24.2814,0.583406,23.1723,23.8922,24.1918,24.7553,25.4674
csa,40,221.721,1.72497,217.45,220.507,221.862,222.875,225.714
fmi,40,194.879,1.59051,191.529,193.916,194.833,195.888,198
sa,40,25.137,0.586741,23.8753,24.7143,25.1566,25.5917,26.42
csa,45,249.733,2.36805,245.125,248.176,249.489,251.543,254.148
fmi,45,219.474,2.00612,214.179,218.269,219.558,221.09,223.145
sa,45,25.9031,0.72995,24.5061,25.3774,25.8662,26.3984,27.9882
csa,50,276.673,2.08874,271.507,275.476,276.488,277.937,281.436
fmi,50,243.29,2.01082,238.805,242.133,243.356,244.652,247.323
sa,50,27.176,0.692884,25.8092,26.6516,27.2297,27.6262,29.0345
csa,55,303.657,2.75704,297.322,301.575,303.655,305.81,310.403
fmi,55,267.226,2.41614,261.949,265.429,267.431,268.732,273.037
sa,55,28.144,0.78988,26.287,27.5795,28.2826,28.633,29.8846
csa,60,331.303,2.84054,323.447,329.759,331.409,332.522,338.438
fmi,60,291.689,2.15288,286.344,290.538,291.772,292.907,296.049
sa,60,29.1335,0.872613,27.4944,28.442,29.1713,29.6668,31.7071
csa,65,359.381,3.67841,350.488,357.317,359.282,362.217,366.915
fmi,65,316.205,2.89425,308.547,314.299,316.524,318.192,322.74
sa,65,29.919,0.983811,28.0307,29.1517,29.9673,30.5414,32.2532
csa,70,385.252,4.14073,374.663,382.853,385.674,387.629,394.181
fmi,70,339.258,3.2453,333.53,336.868,339.369,341.181,347.238
sa,70,31.1078,1.07478,28.5271,30.4686,31.0632,31.8383,34.5996
csa,75,414.067,3.55168,406.619,411.939,414.529,415.996,423.312
fmi,75,363.882,2.90942,357.593,362.197,363.938,365.967,369.786
sa,75,31.639,1.10118,28.5424,30.8547,31.6855,32.2524,34.3628
csa,80,440.11,4.38542,428.174,437.248,440.606,442.911,449.405
fmi,80,387.383,3.29812,379.463,385.351,387.757,389.896,394.553
sa,80,32.9772,1.16323,30.8517,32.185,33.0378,33.6949,35.9131
csa,85,468.134,4.91455,458.105,464.662,467.226,471.943,478.958
fmi,85,411.768,4.25824,402.368,408.947,411.494,414.633,421.431
sa,85,33.3656,1.33417,30.363,32.477,33.4464,34.2684,36.4193
csa,90,494.999,5.43728,483.337,491.642,494.062,498.095,511.377
fmi,90,434.653,4.48563,425.338,431.461,434.163,438.322,447.895
sa,90,34.6134,1.39643,31.4007,33.4505,34.6433,35.7873,37.5324
csa,95,521.859,4.69158,507.82,519.14,522.163,525.103,531.424
fmi,95,459.549,4.26991,449.509,456.963,459.458,462.544,468.044
sa,95,35.4165,1.30777,32.7473,34.3885,35.3034,35.9747,39.1495
csa,100,548.896,4.48714,539.359,545.896,548.594,551.728,559.71
fmi,100,483.312,3.58544,475.796,481.267,483.626,485.58,490.891
sa,100,36.2338,1.28159,33.4083,35.3533,36.1086,36.963,39.3801
csa,105,576.516,4.5877,565.788,573.692,576.508,579.277,587.612
fmi,105,507.428,4.41456,496.787,504.364,507.574,510.335,516.166
sa,105,37.1444,1.33722,34.2703,36.1169,37.2861,38.275,39.4503
csa,110,603.835,5.55282,589.115,600.824,603.107,607.964,617.71
fmi,110,531.238,4.59026,519.737,528.388,530.835,534.331,540.36
sa,110,38.0554,1.52422,35.5262,37.1639,37.8251,38.8376,42.5221
csa,115,630.373,5.77343,613.724,627.089,630.621,634.913,641.294
fmi,115,554.93,4.70135,545.745,551.829,554.831,558.281,566.912
sa,115,38.6751,1.50078,35.2223,37.551,38.5128,39.4318,42.5976
csa,120,657.285,6.8222,638.947,653.57,657.473,661.649,674.607
fmi,120,578.604,5.11991,563.647,575.1,579.369,581.681,588.431
sa,120,39.8151,1.62705,36.1117,38.7721,39.8111,40.9422,44.2133
csa,125,685.493,6.97829,669.454,681.425,685.786,690.046,704.96
fmi,125,603.319,5.2109,587.956,600.734,603.273,606.265,616.089
sa,125,40.4842,1.45037,37.1272,39.4999,40.4866,41.503,43.5844
csa,130,712.002,8.90262,691.152,706.281,713.88,718.139,733.06
fmi,130,626.44,7.12701,605.358,622.013,627.665,630.98,640.21
sa,130,41.4948,2.17856,36.8604,40.1217,41.2691,43.1754,46.9096
csa,135,740.105,8.55327,719.848,734.979,740.53,745.254,757.858
fmi,135,650.774,6.50967,636.784,646.414,650.525,654.672,664.48
sa,135,41.7921,2.11876,37.1027,40.6844,41.8478,42.5891,46.4736
csa,140,767.445,7.60424,749.714,762.133,768.95,772.617,782.493
fmi,140,674.523,6.32191,657.644,670.31,674.769,678.973,687.575
sa,140,42.9963,1.79272,38.5792,41.8416,42.6844,44.1394,48.0922
csa,145,794.805,9.46549,771.676,790.347,795.098,801.188,817.294
fmi,145,698.41,8.30857,679.571,692.43,700.258,703.641,718.323
sa,145,43.671,2.01326,39.5431,42.3488,43.6483,44.4968,48.7586
csa,150,821.763,8.97687,803.373,816.028,822.327,826.555,847.766
fmi,150,722.321,7.01232,708.691,717.93,722.152,727.21,738.209
sa,150,44.3444,1.85937,40.7491,43.0393,44.5282,45.3245,50.3721
csa,155,846.79,8.59155,823.157,841.548,847.242,853.542,863.088
fmi,155,744.925,7.44899,724.041,740.605,746.122,750.221,758.055
sa,155,45.3169,2.00663,39.3414,44.1066,45.0926,46.5892,49.1036
csa,160,877.34,9.86998,854.765,870.322,877.876,884.576,895.726
fmi,160,770.134,8.20635,751.286,763.619,771.584,776.356,783.88
sa,160,45.6588,1.84364,41.9648,44.5569,45.4288,46.596,50.9659
csa,165,903.057,9.07263,884.964,897.131,904.402,908.549,931.287
fmi,165,793.222,7.62167,776.381,787.741,792.626,797.437,816.742
sa,165,46.7374,2.00093,41.6291,45.3934,46.5906,47.986,52.7
csa,170,930.228,10.3036,903.444,922.787,931.305,936.683,951.265
fmi,170,818.187,8.54833,795.697,813.205,818.14,823.82,834.123
sa,170,47.5959,2.2713,42.2769,45.7508,47.4666,49.1025,52.736
csa,175,959.504,10.597,938.753,952.435,959.475,965.75,983.013
fmi,175,842.774,8.18568,827.601,836.438,841.22,850,860.756
sa,175,47.8877,1.83205,43.018,46.5087,48.2147,49.1213,51.1591
csa,180,984.329,9.14582,956.208,980.666,985.192,989.568,1003
fmi,180,864.888,8.07482,840.022,860.163,864.603,870.15,881.928
sa,180,48.5484,1.85959,44.7344,47.4104,48.3392,49.8776,52.3452
csa,185,1012.89,11.374,988.11,1008.92,1012.93,1021.04,1038.45
fmi,185,889.85,9.97781,866.747,884.867,892.366,897.242,907.78
sa,185,49.4164,2.22616,44.136,47.8267,49.2429,50.6857,54.5167
csa,190,1039.47,12.6256,1012.48,1032.5,1039.93,1047.92,1069
fmi,190,913.909,9.65206,891.882,906.328,914.702,921.447,934.263
sa,190,49.9329,2.64746,44.7607,47.8844,49.9996,51.3905,56.187
csa,195,1065.49,11.6862,1032.66,1059.06,1065.44,1072.93,1087.94
fmi,195,935.781,8.72376,910.466,931.712,934.956,941.453,954.478
