alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,23.674,0.442789,22.9935,23.3896,23.6029,23.8668,25.452
fmi,5,22.8019,1.00754,21.2157,22.1919,22.509,23.1357,26.0868
sa,5,12.9321,0.293647,12.4745,12.7242,12.8895,13.0397,13.8754
csa,10,47.7959,0.422749,46.891,47.5248,47.8301,48.063,48.5528
fmi,10,45.747,0.741578,43.7547,45.3149,45.736,46.2888,47.2533
sa,10,16.6874,0.248615,16.1278,16.5292,16.7052,16.863,17.227
csa,15,70.3786,0.629853,69.3999,70.0036,70.317,70.5566,73.3695
fmi,15,67.2654,1.01716,64.4111,66.7045,67.1838,68.1122,69.8819
sa,15,18.701,0.391242,17.6565,18.4261,18.6229,18.9669,19.8134
csa,20,92.7846,0.748009,91.269,92.3735,92.7496,93.1661,95.0699
fmi,20,89.4948,1.45429,86.3287,88.3281,89.3281,90.6275,92.6009
sa,20,20.1396,0.499316,19.0613,19.8602,20.0931,20.303,21.348
csa,25,114.954,1.00564,112.932,114.316,115.023,115.674,117.194
fmi,25,110.398,1.56086,107.177,109.298,110.219,111.61,113.518
sa,25,21.2896,0.46006,20.2476,21.0305,21.321,21.6764,22.1253
csa,30,136.746,1.08391,134.395,136.015,136.756,137.32,139.971
fmi,30,131.519,1.99371,127.16,130.191,131.535,132.673,136.308
sa,30,22.1907,0.59737,20.751,21.7675,22.2091,22.5908,23.5329
csa,35,158.717,1.20744,156.045,157.833,158.733,159.57,162.532
fmi,35,152.81,2.15437,149.037,151.342,152.557,154.187,159.16
sa,35,23.1777,0.681648,21.8204,22.8052,23.1731,23.5316,24.9217
csa,40,180.513,1.267,177.095,179.558,180.57,181.311,183.467
fmi,40,173.39,2.40116,166.632,172.063,173.314,174.665,178.356
sa,40,24.058,0.725767,22.6056,23.454,24.1242,24.4989,25.8686
csa,45,202.443,1.61252,197.92,201.286,202.326,203.586,205.795
fmi,45,194.498,2.41167,188.856,192.568,194.557,196.232,200.12
sa,45,24.7461,0.707535,23.1998,24.1502,24.7395,25.1535,26.5746
csa,50,224.451,2.01336,220.123,222.936,224.727,225.686,228.882
fmi,50,215.516,2.98113,207.172,213.672,216.034,217.606,221.132
sa,50,25.4988,0.782692,24.0172,25.0719,25.4991,25.8918,27.5133
csa,55,246.171,1.79502,242.33,245.011,246.129,247.401,249.5
fmi,55,236.196,3.13779,229.71,233.987,236.377,238.21,244.087
sa,55,26.2279,0.91374,24.5028,25.6859,26.2193,26.7272,28.4155
csa,60,268.364,2.20103,261.496,267.009,268.359,269.684,273.305
fmi,60,256.408,3.36224,248.034,254.36,257.009,258.669,265.144
sa,60,26.9347,0.957599,25.0359,26.3849,26.9241,27.5579,29.7605
csa,65,290.126,2.46631,284.761,288.455,289.985,291.986,295.874
fmi,65,277.315,4.24639,266.968,274.475,277.288,280.155,288.145
sa,65,27.6388,1.11845,25.0753,26.7751,27.6062,28.6052,29.9779
csa,70,311.001,2.55842,304.802,309.613,311.304,312.617,316.022
fmi,70,298.044,4.7233,283.549,294.867,298.459,300.56,307.266
sa,70,28.296,1.1443,25.9498,27.5182,28.3424,28.8917,32.2714
csa,75,332.901,2.35102,327.217,331.004,332.65,334.36,337.778
fmi,75,317.889,4.08251,308.332,314.49,318.505,321.432,325.549
sa,75,29.0135,0.991714,27.2684,28.2723,28.9756,29.8134,31.6763
csa,80,354.156,3.05006,346.167,351.948,354.487,355.767,361.906
fmi,80,336.999,4.24462,325.155,334.757,337.765,340.018,344.751
sa,80,29.9397,1.25962,27.2742,29.1168,29.6919,30.7356,33.5057
csa,85,376.759,2.68849,370.188,374.973,376.754,378.463,385.217
fmi,85,360.086,4.63872,346.024,357.454,359.989,362.432,370.539
sa,85,30.1703,1.13686,27.6885,29.4365,30.2839,31.0479,32.8605
csa,90,397.631,3.1977,391.194,395.72,397.514,399.593,407.886
fmi,90,379.595,4.97136,368.966,376.242,379.573,382.498,390.992
sa,90,30.8482,1.05431,28.2537,30.2182,30.9656,31.5705,33.8211
csa,95,419.755,3.16127,412.223,418.03,420.048,422.028,425.918
fmi,95,401.908,5.29857,390.932,398.774,402.093,406.176,413.376
sa,95,31.2907,1.08078,28.9867,30.5476,31.1103,32.2189,34.3273
csa,100,440.222,3.44226,431.533,437.369,440.361,442.768,448.47
fmi,100,420.349,4.98006,410.976,416.646,421.152,424.106,431.318
sa,100,32.1668,1.24205,28.897,31.2305,32.028,33.0191,34.9805
csa,105,463.205,3.51074,455.436,461.748,463.53,465.454,471.68
fmi,105,440.603,5.79788,425.661,437.125,441.043,444.789,451.416
sa,105,32.874,1.46959,29.8596,31.8434,32.7639,34.0638,36.883
csa,110,485.074,3.7824,477.528,482.192,485.399,488.058,493.407
fmi,110,463.635,6.62975,450.182,459.604,463.042,467.572,481.284
sa,110,33.0468,1.39097,30.1441,31.9979,33.0458,34.1283,36.3487
csa,115,506.505,4.02311,498.408,503.731,505.782,508.691,516.807
fmi,115,482.357,5.32258,470.88,478.833,482.485,485.414,496.95
sa,115,33.8438,1.14564,31.3037,33.1512,33.8162,34.6474,36.1763
csa,120,526.813,4.49546,515.688,523.942,527.312,529.725,537.235
fmi,120,501.89,7.3507,483.185,496.62,500.793,506.205,520.979
sa,120,34.3777,1.37534,30.7777,33.4695,34.503,35.3719,37.0161
csa,125,548.586,4.08938,538.522,545.917,548.78,551.576,556.239
fmi,125,523.779,6.40808,505.362,519.818,524.791,528.292,536.952
sa,125,34.9823,1.28293,32.613,33.8388,34.9665,35.8898,37.7328
csa,130,571.262,5.458,561.503,567.447,571.646,574.055,596.218
fmi,130,543.765,6.83599,528.505,539.067,544.25,548.011,558.482
sa,130,35.4872,1.53948,32.3895,34.6808,35.491,36.2491,39.563
csa,135,592.413,3.95366,582.909,589.345,592.534,595.587,599.913
fmi,135,563.898,7.64735,550.06,558.545,563.052,569.614,581.908
sa,135,36.239,1.24595,33.4447,35.3969,35.9973,37.075,39.1828
csa,140,614.756,3.93941,605.395,612.297,614.621,617.416,623.873
fmi,140,585.847,6.86448,570.986,582.459,586.183,589.792,602.187
sa,140,36.5563,1.41955,34.0637,35.7407,36.522,37.5043,39.5497
csa,145,636.617,4.40371,627.122,633.759,635.751,639.335,647.127
fmi,145,606.278,7.42989,588.718,600.638,606.981,611.501,622.406
sa,145,37.1864,1.6251,34.334,36.0565,36.9992,38.4277,40.2506
csa,150,656.425,5.33646,645.183,652.959,656.406,659.775,668.278
fmi,150,624.882,7.61439,604.735,619.686,625.257,629.6,647.123
sa,150,37.8885,1.57553,35.2067,36.7115,37.7669,38.9001,42.3266
csa,155,678.876,4.47472,670.903,675.025,678.818,681.311,689.636
fmi,155,644.533,7.76256,624.594,640.198,644.961,649.777,662.092
