alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,26055.9,302.077,25652.1,25926.1,26012.4,26085,27476.1
fmi,5,9406.13,206.8,9093.77,9291.76,9396.8,9471.6,10327.1
sa,5,12497.4,0,11732.6,11914.9,12128.2,12595.7,16483.6
csa,10,62434.7,3063.6,61154.9,61815.9,62088.7,62273.2,86394.6
fmi,10,25069.1,242.376,24532,24892.2,25053.5,25221.6,25544
sa,10,23364,0,22996.3,23258.2,23330.6,23459.4,23873.7
csa,15,94505.8,345.791,93855.6,94250.6,94540.1,94697.4,95650.6
fmi,15,39046.2,286.096,38512.3,38859.3,39081.3,39192.5,40001.8
sa,15,25923.7,0,25578.5,25780.5,25889.1,26053.3,26528.9
csa,20,124861,552.916,122765,124605,124830,125230,126211
fmi,20,52181.4,332.969,51352.3,51980.5,52216.1,52344.1,53120.5
sa,20,26868.8,0,26311.2,26650,26883.5,27103.7,27563.4
csa,25,155181,773.544,152815,154630,155151,155736,156941
fmi,25,65265.3,306.368,64652.5,65052.5,65228.9,65479.4,65962.5
sa,25,27581.4,0,26896.2,27422.8,27633.7,27779.3,28256.2
csa,30,185459,3036.65,183324,184535,185148,185814,208365
fmi,30,77930.3,363.925,77159.2,77700.9,77892.2,78198.2,78780.4
sa,30,28432.3,0,27675,28160,28397.5,28629,29449.6
csa,35,215692,1068.38,213077,214989,215658,216395,218472
fmi,35,90645.2,443.491,89603.9,90362.2,90613.4,90913.4,92111.9
sa,35,28908.5,0,27881.6,28690.7,28906.9,29194.4,29926.8
csa,40,246048,2740.14,243312,244869,245498,246616,265459
fmi,40,103232,380.239,102346,102938,103201,103504,104023
sa,40,29381.6,0,28459.8,29079.1,29362.2,29638.3,30504.2
csa,45,276170,1385.34,272487,275237,276262,277223,279024
fmi,45,116034,459.669,114901,115755,116008,116350,117061
sa,45,29867.7,0,28956.7,29521.1,29806.7,30105.6,31648.7
csa,50,306264,1575.22,302311,305572,306134,306894,311097
fmi,50,128587,657.426,127079,128165,128516,128916,130136
sa,50,30521.1,0,29395.1,30222.8,30452.6,30762.5,31573.1
csa,55,336216,2291.66,330788,334287,336509,337732,340744
fmi,55,141184,698.104,139154,140699,141204,141688,142627
sa,55,30941.5,0,29837.9,30609.1,30931,31312.3,32122
csa,60,366235,2477.7,359269,364797,366292,367532,373813
fmi,60,153595,1764.36,151659,152763,153338,153930,165674
sa,60,31498.9,0,30493.6,31138.8,31493.1,31728.9,32873.1
csa,65,396303,2604.41,388655,395100,396446,397511,408370
fmi,65,166346,3175.59,164317,165425,165923,166325,190310
sa,65,32013.2,0,31226.3,31656.6,32003.2,32309.8,33113.4
csa,70,425824,2650.16,420156,424226,425841,427197,433425
fmi,70,177952,1037.87,175482,177503,177990,178604,180197
sa,70,32415.1,0,31443.2,32038,32448.4,32757.2,33717.4
csa,75,456580,4998.52,447082,454370,456093,458305,487705
fmi,75,190896,2989.93,188760,189835,190571,191214,213187
sa,75,32929.7,0,31865.8,32628.5,32918.4,33235.6,34353.2
csa,80,486091,3417.96,477864,484176,485683,488773,493288
fmi,80,203415,1139.88,200912,202624,203330,204149,207636
sa,80,33411.1,0,32023.7,33020.8,33410.7,33722.2,34883.8
csa,85,516617,2913.17,510305,514278,516658,518449,522793
fmi,85,215947,911.425,214207,215216,215900,216550,219012
sa,85,33820.1,0,32752.9,33488.2,33790.9,34191.8,35143.2
csa,90,546978,3378.15,537458,544535,547336,549211,553078
fmi,90,228072,1161.85,225689,227146,228026,228760,231535
sa,90,34324.8,0,33277.5,33948.5,34242.8,34674.8,35966.1
csa,95,576552,3881.32,566444,574413,576636,578482,585950
fmi,95,239956,996.247,237623,239392,239944,240710,242416
sa,95,34728.5,0,33958.4,34344.7,34681.2,34962.3,36564.2
csa,100,606421,4613.03,591825,603610,606419,608371,621940
fmi,100,253204,1342.56,250590,252255,253093,253788,257868
sa,100,35222.1,0,33846.2,34859.3,35295.5,35536,37057.2
csa,105,636348,3683.05,628755,634061,635924,638714,644606
fmi,105,265538,1406.89,262412,264533,265595,266282,269891
sa,105,35746.5,0,34695,35393.8,35668.3,36116.8,37276.5
csa,110,666377,3519.98,658590,664508,666268,668212,675991
fmi,110,277754,1321.45,274851,276592,277609,278589,281521
sa,110,36095.7,0,35031,35802.5,36131.9,36408.9,36954
csa,115,696293,4528.85,681509,693409,696478,699720,704531
fmi,115,289628,1228.36,286122,288938,289518,290309,292395
sa,115,36596.2,0,35627.5,36138.2,36525.1,36911.4,38328.4
csa,120,727616,5214.78,713081,724712,726932,729954,741911
fmi,120,302894,1428.52,300010,302006,302649,303680,307823
sa,120,37050.6,0,35925.9,36696.3,36987.1,37288.4,38522.2
csa,125,755676,4981.06,741858,752704,755726,758853,767700
fmi,125,314273,2046.15,309488,312966,313979,314908,321943
sa,125,37516.8,0,36259.6,37150.4,37509.6,37821.7,38888.8
csa,130,786174,5883.9,772039,781696,785863,790675,801822
fmi,130,326386,1955.84,321369,325276,326397,327483,331609
sa,130,38331.9,0,36818.5,37559.8,37888.1,38471.8,62936.8
csa,135,817016,5613.29,805750,812972,816552,822456,829772
fmi,135,339823,1777.32,336111,338661,339900,341076,345159
sa,135,38420.7,0,37115.3,37979.3,38439.1,38862.7,39597.8
csa,140,847627,5010.9,837907,843928,847211,851604,858906
fmi,140,352229,1709.85,348732,350994,352084,353238,358266
sa,140,38731,0,37372.9,38340.1,38712.3,39074.7,39913.3
csa,145,876175,5712.55,858671,873599,876804,879930,887081
fmi,145,364297,1961.49,358479,363169,364312,365355,369440
sa,145,39217.7,0,38133.6,38898.7,39223.5,39531.4,40465.2
csa,150,905601,6714.56,891131,901058,905733,910095,920223
fmi,150,376699,2208.66,372177,375271,376615,377907,382431
sa,150,39714.3,0,38493.7,39221.7,39645.3,40135.9,41250.8
csa,155,936341,7636.51,917963,931102,937269,941816,954020
fmi,155,388975,2649.13,383535,386784,388913,390885,394893
sa,155,40253.6,0,39101.3,39780.6,40243.4,40579.7,42093.3
csa,160,964959,6269.34,950223,961464,964345,968057,981484
fmi,160,401018,2639.5,396283,399557,400626,401938,415921
sa,160,40665.4,0,39315.1,40295,40607.5,41059.9,42214.3
csa,165,995809,7527.48,978009,991000,995690,1.00021e+06,1.01487e+06
fmi,165,414441,2350.1,409047,412715,414236,415723,419644
sa,165,41188.3,0,39974.7,40675,41010.8,41579,42969.2
csa,170,1.02574e+06,6985.67,1.01311e+06,1.02156e+06,1.0252e+06,1.02877e+06,1.0527e+06
fmi,170,426162,2080.69,421272,424620,425938,427427,432754
sa,170,41404.5,0,39974.5,41069.6,41386.1,41790.7,43087.2
