alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,26853.9,475.182,25982.7,26575.7,26865.7,27048.3,28760.8
fmi,5,12948.2,304.98,12569.1,12774.7,12927.1,13042.2,14794.5
csa,10,63841.2,696.542,61727.6,63369.6,63931,64323.7,65100.6
fmi,10,34504.3,224.52,33905.6,34328.9,34527,34686.8,34887.5
csa,15,96562.6,965.672,94421.9,95969.1,96730.8,97101.8,99126.1
fmi,15,53766.5,428.241,52950.2,53546.5,53687.4,54002.8,55111.7
csa,20,127402,1515.96,123554,126353,127631,128314,130392
fmi,20,72297.2,502.732,71040.5,71997.4,72383.9,72654.5,73242.6
csa,25,157523,1584.33,153680,156594,157353,158631,161260
fmi,25,90779.1,528.481,89496.1,90481.5,90859.4,91100.2,91933.6
csa,30,187717,1964.55,183595,186195,187624,189147,192028
fmi,30,108792,682.002,107410,108339,108702,109266,110268
csa,35,218343,2640.59,213353,216442,218684,220021,223177
fmi,35,126624,885.266,124430,126074,126646,127228,129090
csa,40,248976,2637.56,243127,247634,248963,250366,256201
fmi,40,144662,867.682,142217,144319,144748,145118,147269
csa,45,278593,3694.49,270626,276290,278946,281011,287718
fmi,45,162277,1340.49,158878,161319,162439,163346,165403
csa,50,308978,4336.97,298452,306671,308428,311720,322370
fmi,50,180150,1784.7,175874,179187,180042,181127,189186
csa,55,339026,4485.1,330102,335775,338366,342261,349117
fmi,55,197650,2109.8,193914,196580,197402,198755,208352
csa,60,371042,5437.82,360603,367737,371194,373367,398356
fmi,60,216023,3644.21,212814,214532,215567,216890,242261
csa,65,399591,5200.98,385729,396320,399724,403790,410800
fmi,65,232780,1843.28,227101,231686,232752,233901,237160
csa,70,430553,5619.77,417665,426508,430021,435020,442962
fmi,70,250579,1729.04,247072,249467,250336,251659,254141
csa,75,460192,6305.9,445845,456992,460444,464807,472221
fmi,75,268345,2233.22,262816,267250,268655,269994,272753
csa,80,491084,5983.15,470048,486895,491827,495293,503421
fmi,80,285945,2398.35,278008,284358,286133,287516,290969
csa,85,521516,6782.49,502986,518194,521564,524227,551490
fmi,85,303385,2165.69,297101,302554,303639,304775,306900
csa,90,551767,7920.79,528444,546409,551105,555899,585115
fmi,90,321524,2452.76,315679,319636,321703,322985,327301
csa,95,581554,6463.77,567674,577867,582377,584614,598145
fmi,95,338724,2361.56,333098,337298,338665,340333,344244
csa,100,611094,7479.51,597201,604584,611878,615774,625595
fmi,100,356334,2646.24,350906,354399,356533,358402,362359
csa,105,640524,7213.22,622872,635616,640154,645371,659339
fmi,105,373506,2633.92,366863,371728,373505,375482,379225
csa,110,670508,8485.31,648123,664788,669713,674762,691406
fmi,110,391152,2787.4,383472,389189,391284,393019,398321
csa,115,702345,7698.08,678581,697740,702559,708272,719244
fmi,115,409977,3266.59,401245,408131,409783,411880,422350
csa,120,732939,9537.3,707159,727950,732309,739782,758190
fmi,120,428784,3300.12,421803,427057,428892,430868,436244
csa,125,762106,10743.2,727031,757150,764257,768468,784102
fmi,125,446867,3892.37,434781,444308,447418,449347,454782
csa,130,792321,9116.17,772238,785736,792598,797438,815490
fmi,130,463896,3435.31,457420,461364,463849,466303,471815
csa,135,818099,9475.25,792896,811846,817826,824387,836774
fmi,135,480049,3558.38,471516,477771,480592,482460,486620
csa,140,848319,11140.8,817847,841174,849356,855129,871624
fmi,140,498158,3911,485748,496050,498650,501112,504726
csa,145,879756,11102,845729,872509,880625,888295,909377
fmi,145,516502,3989.33,503181,514223,516422,519385,526770
csa,150,908959,10167.8,883664,903495,909468,915356,930618
fmi,150,532756,3717.5,523870,530584,532627,535346,540012
csa,155,942444,10315.6,925889,934455,941002,949370,966570
fmi,155,551211,3744.39,544479,548603,551570,553647,560546
csa,160,973875,10990.6,947639,968148,972878,981335,1.0043e+06
fmi,160,567611,5699.14,557993,563927,567102,569637,594144
csa,165,1.00499e+06,11049.9,981982,995742,1.00378e+06,1.01374e+06,1.03617e+06
fmi,165,583706,4253.47,575691,580713,582500,587283,594600
csa,170,1.03688e+06,12587.8,1.00946e+06,1.0277e+06,1.03525e+06,1.04616e+06,1.06428e+06
fmi,170,603034,4803.02,591044,600054,603006,606520,611855
csa,175,1.06537e+06,12937.8,1.03989e+06,1.05666e+06,1.06605e+06,1.07593e+06,1.09177e+06
fmi,175,619384,4916.57,606770,615943,619272,622390,630738
csa,180,1.09392e+06,16735,1.05043e+06,1.08449e+06,1.09366e+06,1.10423e+06,1.1293e+06
fmi,180,635925,5721.73,619188,633113,636092,640040,647033
csa,185,1.12832e+06,13848.7,1.10173e+06,1.11989e+06,1.12502e+06,1.13949e+06,1.16252e+06
fmi,185,654226,4954.98,644523,650985,653735,657810,667114
