alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,27128.7,344.611,26706.3,26960.4,27054.3,27150.8,28536.6
fmi,5,21932.4,412.512,21099.6,21639.2,21878.2,22224.5,23268.8
sa,5,16278.8,0,15891.2,15998.7,16072,16187.6,20587.7
csa,10,56086.1,310.131,55320.8,55873.2,56060.3,56277.8,56941.9
fmi,10,48067.4,257.522,47256.1,47941.3,48080.7,48275.6,48595.5
sa,10,18198.1,0,17923.4,18090.9,18198.6,18293.2,18527.4
csa,15,84126.8,537.235,83157.9,83699.5,84057.2,84561.4,85547.1
fmi,15,73683.3,469.899,72629.9,73302.7,73695.4,73944.4,74651.3
sa,15,19526.7,0,19022.3,19329,19523,19673,20363.6
csa,20,111947,784.644,110332,111428,111841,112437,114320
fmi,20,98938.8,1520.17,97366.3,98194.7,98791.5,99243.2,109438
sa,20,20845.4,0,19888.4,20640.1,20871.3,21029.2,21587.6
csa,25,139903,892.639,137953,139396,140034,140526,141649
fmi,25,123782,913.344,121684,123291,123937,124333,125461
sa,25,22071.9,0,21354.2,21796.9,21977.2,22349,23160
csa,30,167706,1105.71,164928,167048,167679,168493,170237
fmi,30,148617,1215.61,146028,147857,148327,149370,151426
sa,30,23130.1,0,21972.3,22800.8,23078.9,23394.7,24621.4
csa,35,195373,1647.03,192118,194157,195408,196520,198784
fmi,35,173259,1355.98,170628,172215,173241,174196,176683
sa,35,24298.8,0,23097.1,23858.1,24338.8,24685.1,25371.4
csa,40,223115,1964.85,217943,221500,223141,224394,228158
fmi,40,198068,1541.67,193893,197108,198207,199170,201511
sa,40,25455.1,0,23845.5,25043.2,25420.1,25882.1,27331.3
csa,45,250617,1953.16,246212,249225,250646,252155,254844
fmi,45,222333,1833.47,216674,221007,222614,223455,225949
sa,45,26340.7,0,25001.8,25982,26287.9,26791.9,28465.7
csa,50,277989,2401.57,272847,276350,277908,279274,283318
fmi,50,247220,3645.44,242212,245393,247050,248518,271440
sa,50,27476.8,0,25937.4,26853.4,27423.9,27918.8,29465.1
csa,55,306169,3333.53,297979,304106,306128,308719,314071
fmi,55,272036,3874.03,264980,269954,271446,273479,292857
sa,55,28122.5,0,25919.2,27429.7,28076.4,28795.8,32138.8
csa,60,333363,2789.28,326995,331508,333569,334985,339872
fmi,60,295962,2324.56,290239,294372,296152,297552,301614
sa,60,29318.1,0,27367.4,28753.3,29333.5,29962.2,31243.9
csa,65,360402,3083.77,353737,358330,359881,362730,368373
fmi,65,320158,2745.22,312991,318474,319922,322116,329328
sa,65,30464.4,0,28442.1,29825.1,30491.2,30890.9,32694.9
csa,70,388653,3926.51,379354,385920,388976,391062,398527
fmi,70,344642,3135.13,336842,342703,344843,346827,349646
sa,70,30950.4,0,28023.6,30262.5,30886.5,31537.8,34539.9
csa,75,415178,3710.9,405651,412986,415694,417586,422083
fmi,75,368283,3359.94,358641,366250,368356,371113,375307
sa,75,32298.6,0,28980.8,31592.5,32262.2,32806.7,34844.9
csa,80,443073,4439.84,432008,440346,442750,446522,451720
fmi,80,393230,3407.62,385475,391052,393478,395565,400526
sa,80,32837.1,0,30586.1,32035.2,32788.7,33559.8,35170.4
csa,85,470712,5683.8,458715,467053,470612,474254,493196
fmi,85,417163,4006.95,407228,414036,417138,420457,424802
sa,85,34238.8,0,30984.5,33018.7,33930.3,34663.7,58683.4
csa,90,498611,5444.78,487621,494679,497976,501462,519598
fmi,90,441833,3947.18,433101,439185,441833,443997,451971
sa,90,34596.1,0,32040.8,33804.8,34460.9,35600.2,38662.5
csa,95,524792,5001.67,512864,522313,524742,528808,537196
fmi,95,465399,4229.89,455557,462672,465786,468534,472642
sa,95,35671,0,32127.9,34879.3,35781.3,36503.2,38409.8
csa,100,552973,7324.28,539338,548280,551904,556401,580876
fmi,100,490042,4364.1,477520,487545,490203,492767,497852
sa,100,36578.9,0,33936.7,35496.5,36505.5,37627.4,39253.2
csa,105,579481,5879.19,564934,575686,579755,583431,593538
fmi,105,514581,5006.46,501022,510865,514758,518055,525819
sa,105,37305.9,0,32753.9,36499.3,37127.6,38312.3,40894.8
csa,110,607866,6536.69,594760,603092,607936,610720,631773
fmi,110,538567,5952.12,526621,534916,537961,541733,566492
sa,110,38376.6,0,35293.2,37337.1,38512.3,39219.3,42249.2
csa,115,635227,6081.94,612199,631604,635441,639492,646365
fmi,115,563606,4464.01,547334,560642,563693,566299,575067
sa,115,38742.9,0,36112.9,37896.2,38813.8,39386.3,43225.7
csa,120,661972,7901.44,632096,658064,662656,666744,678378
fmi,120,587159,5920.15,566812,583932,587333,590907,598978
sa,120,39942.8,0,35437,38707.7,39731.1,41120.6,46302.6
csa,125,689311,7994.59,674878,683230,689321,693104,723691
fmi,125,609654,4843.62,597522,606229,609781,612956,620420
sa,125,40800.2,0,38023.4,39825.2,40808.9,41481.7,49096
csa,130,718298,7508.96,703232,713792,717987,722983,739649
fmi,130,635516,6016.61,621850,631763,635316,639590,650510
sa,130,41095.6,0,37902,39744.4,40951.6,42292.4,45501.9
csa,135,744540,7695.5,727176,739586,745116,748402,764196
fmi,135,660464,6470.85,645163,655502,659826,663773,675592
sa,135,42028.9,0,38285.8,40958.8,42040.5,43322.1,46520.6
csa,140,773056,9578.47,747891,766972,774456,778750,793501
fmi,140,684732,8170.03,661177,681331,685678,689159,709147
sa,140,43048.5,0,38935.2,41609.3,42424.1,44011.5,66224.9
csa,145,797822,7112.54,781983,793501,798577,803014,815204
fmi,145,706627,7151.04,692041,702043,706489,709707,730988
sa,145,43809,0,40406.5,42394.5,43772.9,44758.4,47586.7
csa,150,824606,7399.01,807564,819976,824399,829253,841180
fmi,150,729166,6139.11,715014,724537,729805,733306,741030
sa,150,44742.3,0,41408.1,43424.2,44598.4,45453.5,51798.5
csa,155,854050,9442.67,831933,847681,853757,858529,882099
fmi,155,755702,6914.41,735756,751375,756159,761208,768613
sa,155,44752.1,0,40480.1,43128.7,44915,46067.2,50014.4
