alg,n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
csa,5,23874.9,366.066,23057.4,23649.8,23851.2,24057.2,25346.2
fmi,5,23776.3,653.458,22404.9,23449.6,23690.7,24001.7,25595.4
sa,5,13377.8,0,13074.1,13256.3,13376.5,13450,14017.5
csa,10,48479.4,426.058,47540.7,48207.6,48509.1,48778.6,49489.7
fmi,10,48651.4,770.063,46623.4,48133,48822.3,49345.7,49948.8
sa,10,17054.9,0,16510.9,16915.5,17029.1,17206.3,17875
csa,15,71409.4,683.332,70287.4,70917.7,71284.5,71756.6,73840.9
fmi,15,72477.6,1551.86,70094.1,71759.5,72376.9,72911.8,81671.2
sa,15,19141.5,0,18051.9,18879,19176.7,19347.5,20063.5
csa,20,94283.2,1492.35,92293.4,93735.8,94162.4,94509.1,104692
fmi,20,95172.8,1429.44,92096.2,94172.3,95266.6,96047.8,98720.8
sa,20,20513.7,0,19332.1,20147.1,20587.2,20824.7,21703.6
csa,25,117143,1996.75,114350,116258,116925,117590,129658
fmi,25,118637,1689.42,114883,117614,118465,119764,122708
sa,25,21484.7,0,20238,21098.6,21439.3,21857.1,22824.4
csa,30,139077,1085.83,136442,138426,139050,139841,141615
fmi,30,141058,2452.33,137094,139393,140928,142346,152566
sa,30,22702,0,21549.1,22230,22667,23153.9,24050.4
csa,35,161506,1192.85,158952,160706,161596,162327,164745
fmi,35,162813,2162.45,158577,161358,162715,164016,168290
sa,35,23389.4,0,22147.6,22934,23353.2,23846.4,25270.6
csa,40,183753,1227.95,181209,182858,183731,184589,186681
fmi,40,185364,2502.65,179136,183636,185499,187030,190486
sa,40,24166.2,0,22616.6,23766.1,24060,24546,25791.3
csa,45,206075,1671.21,202885,205240,206105,207078,209703
fmi,45,207878,2605.15,200758,206538,207783,209819,215275
sa,45,25026.5,0,23454.2,24462.1,24945.4,25476.7,27641.1
csa,50,227669,1948.16,222562,226535,227828,228788,232048
fmi,50,228416,2190.32,222922,227060,228276,229693,234292
sa,50,25979.7,0,24508.6,25449.5,25970.8,26385.4,28625.1
csa,55,249925,1900.36,244624,248726,250087,251087,254654
fmi,55,251324,2503.4,243631,250107,251634,252699,257380
sa,55,26495.1,0,24451.9,25819.8,26443.5,27023.1,29262.9
